#{"t_start": 1763674313.4397767, "env_id": "None"}
r,l,t
-9609.123501,1,1.174858
-5568.776976,1,1.175369
-5673.428787,1,1.175869
-8192.306295,1,1.176385
-9232.096747,1,1.176893
-7879.086577,1,1.177407
-6958.39894,1,1.177932
-7635.717906,1,1.178459
-6786.481225,1,1.178948
-6918.885076,1,1.179419
-7763.003718,1,1.179874
-6808.563238,1,1.180352
-7827.458166,1,1.18083
-4843.219654,1,1.181321
-9795.305494,1,1.181796
-6527.76906,1,1.182285
-8404.845025,1,1.182759
-8223.247481,1,1.183244
-6161.118862,1,1.183721
-7049.418706,1,1.184205
-6290.717166,1,1.184677
-5698.987359,1,1.185146
-6691.940459,1,1.185636
-7526.779796,1,1.186107
-7438.010753,1,1.186594
-5194.246499,1,1.187073
-8702.107044,1,1.187593
-6577.614616,1,1.188095
-5625.148381,1,1.188616
-7376.094994,1,1.189115
-6898.773178,1,1.189622
-7369.56864,1,1.190117
-6832.678683,1,1.190628
-12265.236937,1,1.19113
-5177.246437,1,1.191646
-9810.135408,1,1.192137
-7133.900823,1,1.192649
-6862.93767,1,1.193149
-11002.057325,1,1.193665
-10040.768983,1,1.194165
-6393.854098,1,1.19467
-9180.928137,1,1.195168
-7758.508793,1,1.195688
-6419.517102,1,1.196196
-10708.439775,1,1.196692
-7733.967334,1,1.197197
-5861.04865,1,1.197656
-7197.611826,1,1.198108
-6490.857269,1,1.198573
-5228.354501,1,1.199028
-5322.886481,1,1.199493
-5559.516609,1,1.199957
-6350.392605,1,1.200425
-6043.243073,1,1.200881
-6428.761521,1,1.201433
-6894.999288,1,1.20189
-8653.196557,1,1.202358
-6438.494758,1,1.202814
-5386.998182,1,1.20328
-9534.039485,1,1.203735
-6376.933068,1,1.204201
-10347.084369,1,1.204664
-6711.143615,1,1.205119
-6476.993231,1,1.205588
-6341.030342,1,1.206044
-8191.061065,1,1.206515
-8013.445166,1,1.206973
-6396.809884,1,1.207441
-7797.561508,1,1.207897
-11121.948178,1,1.208366
-8174.281934,1,1.208823
-5527.95213,1,1.209289
-7738.284772,1,1.209744
-7387.891737,1,1.21021
-7688.901603,1,1.21067
-7938.597184,1,1.211131
-8209.141978,1,1.211597
-9336.045603,1,1.212054
-6070.850157,1,1.212522
-8065.640152,1,1.212976
-8238.315564,1,1.213443
-7764.612821,1,1.213934
-7351.695647,1,1.214411
-7478.868688,1,1.214868
-8545.948145,1,1.215339
-7429.696331,1,1.215796
-7076.397467,1,1.216263
-7897.715484,1,1.216718
-9008.369367,1,1.21717
-6828.06786,1,1.217635
-8369.921723,1,1.218091
-5780.714148,1,1.21856
-5661.243738,1,1.219017
-6722.127743,1,1.219484
-10873.604053,1,1.219946
-5590.981532,1,1.220464
-7024.168653,1,1.220982
-8591.514076,1,1.221498
-7072.614509,1,1.221996
-9007.22358,1,1.2225
-5368.801569,1,1.223004
-7894.977941,1,1.223518
-6872.352279,1,1.224022
-9171.082255,1,1.224532
-8429.716703,1,1.225033
-7947.1994,1,1.225546
-7429.204981,1,1.22605
-5185.094125,1,1.226575
-11094.045793,1,1.227073
-8725.39819,1,1.227627
-7313.702827,1,1.228129
-9588.960787,1,1.228638
-6341.432067,1,1.229137
-6385.882468,1,1.229653
-11127.282593,1,1.230147
-9257.687157,1,1.230661
-8692.030444,1,1.231194
-7351.482237,1,1.231676
-6655.789395,1,1.232143
-6778.086524,1,1.23262
-6548.622837,1,1.233089
-8355.845315,1,1.233599
-6143.007686,1,1.234084
-7988.881262,1,1.23455
-6083.808459,1,1.235093
-6583.399849,1,1.235764
-8382.014081,1,1.236256
-9056.28873,1,1.236714
-11792.284211,1,1.237167
-9651.988079,1,1.237638
-8236.625885,1,1.238093
-8488.884651,1,1.238583
-8452.205055,1,1.239055
